ID,File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender
krd_000001_jokes,,Ni wewé watōyé aryá maherá yarí ku kabàáti?,C'est toi qui as pris l'argent qui était sur la table ?,It's you who took the money that was on the table?,jokes,,,,,,
krd_000002_jokes,,Ivyo birāto wāmbáye wabíguze angâhé?,Combien as-tu payé ces chaussures ?,How much did you buy those shoes?,jokes,,,,,,
krd_000003_jokes,,Arasúbizayó ati : Miré umuriro,Lui : Avaler du feu ?,Him: Swallow fire,jokes,,,,,,
krd_000004_jokes,,"Bella : Hèé màá, utânguriye iphone 13 nca nîyahura",Bella : Maman si tu ne m'achètes pas un Iphone 13 je pourrais me suicider,Bella: Mom if you don't buy me an Iphone 13 i might kill my self,jokes,,,,,,
krd_000005_jokes,,Bubu : Alooo Muyòómba !! úrakomeye ?,Bubu : Salut oncle ! Comment ça va ?,Bubu: Hello uncle! How are you?,jokes,,,,,,
krd_000006_jokes,,Bubu: Ni sawá mugá yâ maherá y'íterefòóne yānje wasígira Māwé yangúriyemwó ibitûmburá n’íkabuturá gusa !,"Bubu : Oui, ça va aussi, mais avec l'argent que tu as donné à maman pour m'acheter un téléphone, elle m'a seulement acheté un pain et une culotte.","Bubu: Yes, I am fine too, but with the money you gave to mom to buy me a phone, she only bought me a bread and underwear.",jokes,,,,,,
krd_000007_jokes,,Hewé urabêrewe cāne unó mùúsi kwèéri,Tu as vraiment l'air bien aujourd'hui.,You really look good today.,jokes,,,,,,
krd_000008_jokes,,Jēwé: Urī ndé?,Moi : Qui est là ?,Me: Who's there?,jokes,,,,,,
krd_000009_jokes,,Mu Burùúndi: Kirimwó amatára n’âmâzi?,Au Burundi : Quels autres produits vais-je recevoir en bonus avec ces chaussures?,In Burundi: What other items am I getting as a bonus with these shoes?,jokes,,,,,,
krd_000010_jokes,,"Muyòómba: ēgó, nàáwe gúte ?","Oncle : Oui, ça va. Et toi ?","Uncle: Yes, I am fine. How about you?",jokes,,,,,,
krd_000011_jokes,,Mwìígīsha: Korēsha amaherá mu ryùúngāne.,Le professeur a dit : Utilisez argent dans une phrase.,The teacher: Use Money in a sentence.,jokes,,,,,,
krd_000012_jokes,,Māwé yambwîye ati: Kubêra ikí utāzí ubwênge nka bárya bâna bó kwā Mátayó?,Ma mère : Pourquoi n'es-tu pas aussi intelligent que les enfants de Mathieu ?,My mom: Why are you not smart like those kids of Mathew?,jokes,,,,,,
krd_000013_jokes,,Nawé ati : Ncīré umuceri?,Lui : Recracher le riz ?,Him: Spit out the rice?,jokes,,,,,,
krd_000014_jokes,,Nyina wa Bella : Urāmbwīra ncūmbé butó nìímba udáharí,Mère de Bella : Préviens-moi tôt pour que je puisse préparer moins de nourriture.,Bella's mom: Tell me early so I can prepare less food.,jokes,,,,,,
krd_000015_jokes,,Nàánje nca nsānga namwīshuye nti : Wehó kó utūgúrutse mu mutwé nka nyina wa Dylan?,Moi : Pourquoi n'es-tu pas aussi cool que la maman de Dylan ?,Me: Why are you not cool like Dylan's mom?,jokes,,,,,,
krd_000016_jokes,,Nàátwe tuti : Inywa amâzi bàási ! Nawé ati: Ndawuyòóngēshe ?,"Nous : Eh bien, alors, bois de l'eau ! Lui encore : Je veux pas le diluer ?","Us: Well, then, wash it down with water! Him again: Do you want me to dilute it?",jokes,,,,,,
krd_000017_jokes,,"Sé wîwé: Oyaa, ivyo ntívyōshoboka kukó uryá ní Māwé wānje.","Son père : Non, ce n'est pas possible, car c'est ma maman.","His Dad: No, that's not possible, because she is my mom.",jokes,,,,,,
krd_000018_jokes,,Turōngera tuti: Wumire bàási.,"Nous encore : D'accord, avale-le !","Us again: Alright, swallow it!",jokes,,,,,,
krd_000019_jokes,,Ubu tuvugána ndāye kwa bā Dylan.,Maintenant je crois que je vais passer la nuit chez Dylan.,Now I'm spending the night to Dylan's house.,jokes,,,,,,
krd_000020_jokes,,Umufaràánsa: Urakóze cāne.,Un Français : Merci bien.,A French person: Thank you very much.,jokes,,,,,,
krd_000021_jokes,,Umugēnzi: Do do do.,"Ami : Toc, toc, toc.","Friend: Knock, knock, knock.",jokes,,,,,,
krd_000022_jokes,,Umugēnzi: Ni jēwé kīntu cā mbere ukūndá mu buzima bwāwe.,"Ami : C'est moi, la chose que tu aimes le plus dans la vie.","Friend: It's me, the number one thing you mostly like in life.",jokes,,,,,,
krd_000023_jokes,,"Umukòóbwa: Oya núkurí, Jēwé nkorēsha vaseline gusa.","Une fille : Non, j'utilise seulement de la Vaseline.","A girl: No, I only use Vaseline.",jokes,,,,,,
krd_000024_jokes,,Umunyâmēriká: Urakóze.,Un Américain : Merci.,An American: Thank you.,jokes,,,,,,
krd_000025_jokes,,"Umunyêshùúre : Ntayo mfisé nōkorêsha, ndakenye.","L'élève a répondu : ""Je n'ai pas d'argent à utiliser je suis fauché.""",The student: I don't have any money to use I am broke,jokes,,,,,,
krd_000026_jokes,,Umunyêshùúre nawé arōngera ati: Nōné kubêra ikí wāmá udúhana iyó tutākozé devoir?,"L'élève répliqua : ""Alors pourquoi nous punissez-vous toujours chaque fois que nous n'avons pas fait nos devoirs ?""",The student: So why do you always punish us whenever we haven't done the homework?,jokes,,,,,,
krd_000027_jokes,,Umunyêshùúre yabájije umwìígīsha wîwé ati: Umūntu arashóbora guhanirwa icó atākozé?,"Un élève demanda à son professeur : ""Est-ce que quelqu'un peut être puni pour quelque chose qu'il n'a pas fait ?""",A student inquired of their teacher: Can someone be punished for something they haven't done?,jokes,,,,,,
krd_000028_jokes,,Umurùúndi: Indé ??,"Un Burundais : ""Qui ? Moi ?""",A Burundian: Who? Me?,jokes,,,,,,
krd_000029_jokes,,Umurùúndi: Ushāka uyàánsubize?,Réponse burundaise : Tu veux me rembourser ?,Burundians: Do you want to cash me back?,jokes,,,,,,
krd_000030_jokes,,"Umwâna : Hèé Dàá, nūmva nkûnda nyòókuru göse, niwé nshāká kó tuzôkóra ubukwé","Enfant : Hé Papa, j'aime vraiment beaucoup Mamie, je veux qu'elle soit ma femme.","Kid: Hey Dad, I really love grandma a lot, I want her to be my wife.",jokes,,,,,,
krd_000031_jokes,,Umwâna : Nōné wewé Kó watwâye Māwé wānje ?,"Enfant : Mais toi aussi, tu as épousé ma maman?",Kid: But you also married my mom?,jokes,,,,,,
krd_000032_jokes,,Umwìígīsha nawé ati: Oya.,Le professeur répondit : Non.,The teacher replied: No.,jokes,,,,,,
krd_000033_jokes,,"Veterinêri: Umūntu amvuníra umugeto, ntā yìíndi nyama nōmuhá.",Grilladin : Celui qui casse mes tiges n'aura plus de viande.,Griller: The one who breaks my skewers won't get any meat anymore.,jokes,,,,,,
krd_000034_jokes,,Aba màáma b’ábarùúndi baratāngāje núkurí.,Les mamans burundaises sont vraiment spéciales. ,Burundian moms are truly unique.,jokes,,,,,,
krd_000035_jokes,,"Aba màáma b’ábarùúndi nûbwó wōbabwìíra kó wīgá mu wa gátāndátu ufíse imyâka 18
bāma bágira bati :""Urayajānyē!"" cânké ngo ""Uyahejeje ukíri mutó""","Les mamans burundaises, imaginez avoir 18 ans et leur dire que vous êtes sur le point de terminer l'école primaire. Leur réponse ? 'Wow, tu es sur le point de terminer ton marathon académique,' ou 'Finir à un si jeune âge, n'es-tu pas un prodige ?","Burundian moms, imagine being 18 and telling them you're about to finish primary school. Their response? 'Wow, you're on the brink of completing your academic marathon,' or 'Finishing at such a tender age, aren't you a prodigy?",jokes,,,,,,
krd_000036_jokes,,"Aba màáma b’ábarùúndi ubábwīye uti : ""Ufise Umwâna mwīzáa.""
Nyina wîwé rēró : ""Yōooo asa na sé.""","Si tu dis aux mamans burundaises, 'Tu as un beau bébé.'
La grand-mère : 'Ohhh vraiment ? Il ressemble à son père.'","If you tell Burundian moms, 'You have a beautiful baby.'
The grandmother: 'Ohhh really? He looks like his father.'",jokes,,,,,,
krd_000037_grammar,,Ababwira ijambo ry’Imana mu migani myinshi imwe n’iyo,Il leur dit la parole de Dieu dans de nombreuses paraboles identiques à celles,He told them the word of God in many parables the same as those,grammar,,,,,,
krd_000038_proverbs,clips/sound_proverb/prov048.mp3,Ababwiriza benshi barashisha mu jisho.,Vous ne pouvez pas suivre beaucoup de prédicateurs,You cannot follow many preachers,proverbs,,,,,,
krd_000039_proverbs,,Abadápfūyé barabónana.,Les chemins des vivants finiront par se croiser à nouveau.,The paths of the living will eventually cross again.,proverbs,,,,,,
krd_000040_proverbs,,Abagabo bahūrira mu cêro ntíbahūríra mu cîbo.,"Pour des conversations significatives, rassemblez-vous dans l'endroit ouvert désigné, pas autour du festin.","For meaningful conversations, gather in the designated open area, not around the feast.",proverbs,,,,,,
