File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,word_count,char_count
,"""Ni wewé watōyé aryá maherá yarí ku kabàáti???""
- Inyishú isānzwé: Oya sí jēwé!
- Umurùúndi: Indé? Jēwé? Nayatōye hábona ndé????","""C'est toi qui as pris l'argent qui était sur la table ?""
- Réponse normale : Non, ce n'est pas moi.
- Réponse burundaise : Qui ? Moi ? Qui m'a vu ?","""It's you who took the money that was on the table?""
- Normal people: No, it's not me
- Burundians: Who? Me? Who saw me?",jokes,,,,,,,21,128
,"- ""Ivyo birāto wāmbáye wabíguze angâhé?""","- ""Combien as-tu payé ces chaussures ?""","-""How much did you buy those shoes?""",jokes,,,,,,,6,40
,- Arasúbizayó ati : Miré umuriro,- Lui : Avaler du feu ?,- Him: Swallow fire?,jokes,,,,,,,6,32
,"- Bella : Hèé màá, utânguriye iphone 13 nca nîyahura",- Bella : Maman si tu ne m'achètes pas un Iphone 13 je pourrais me suicider,- Bella: Mom if you don't buy me an Iphone 13 i might kill my self,jokes,,,,,,,10,52
,- Bubu : Alooo Muyòómba !! úrakomeye ?,- Bubu : Salut oncle ! Comment ça va ?,- Bubu: Hello uncle! How are you?,jokes,,,,,,,8,38
,- Bubu: Ni sawá mugá yâ maherá y'íterefòóne yānje wasígira Māwé yangúriyemwó ibitûmburá n’íkabuturá gusa !,"- Bubu : Oui, ça va aussi, mais avec l'argent que tu as donné à maman pour m'acheter un téléphone, elle m'a seulement acheté un pain et une culotte.","-Bubu: Yes, I am fine too, but with the money you gave to mom to buy me a phone, she only bought me a bread and underwear.",jokes,,,,,,,16,106
,- Hewé urabêrewe cāne unó mùúsi kwèéri,"-""Tu as vraiment l'air bien aujourd'hui.""","-""You really look good today.""",jokes,,,,,,,7,38
,- Inyishú isānzwé: 50.000 F,"- Réponse normale : BIF 50,000","- Normal people: BIF 50,000",jokes,,,,,,,5,27
,- Jēwé: Urī ndé?,"- Moi : ""Qui est là ?""","- Me: """"Who's there?""""""",jokes,,,,,,,4,16
,- Mu Burùúndi: Kirimwó amatára n’âmâzi ??,"- Au Burundi : ""Quels autres produits vais-je recevoir en bonus avec ces chaussures?""","- In Burundi: ""What other items am I getting as a bonus with these shoes?""",jokes,,,,,,,7,41
,"- Muyòómba: ēgó, nàáwe gúte ?","- Oncle : Oui, ça va. Et toi ?","- Uncle: Yes, I am fine. How about you?",jokes,,,,,,,6,29
,"- Mwìígīsha: Korēsha ""amaherá "" mu ryùúngāne.","- Le professeur a dit : ""Utilisez 'argent' dans une phrase.""","- The teacher: Use """"Money"""" in a sentence.""",jokes,,,,,,,7,45
,- Māwé yambwîye ati: Kubêra ikí utāzí ubwênge nka bárya bâna bó kwā Mátayó?,- Ma mère : 'Pourquoi n'es-tu pas aussi intelligent que les enfants de Mathieu ?',- My mom: 'Why are you not smart like those kids of Mathew?',jokes,,,,,,,14,75
,- Nawé ati : Ncīré umuceri?,- Lui : Recracher le riz ?,- Him: Spit out the rice?,jokes,,,,,,,6,27
,- Nyina wa Bella : Urāmbwīra ncūmbé butó nìímba udáharí,- Mère de Bella : Préviens-moi tôt pour que je puisse préparer moins de nourriture.,- Bella's mom: Tell me early so I can prepare less food.,jokes,,,,,,,10,55
,- Nàánje nca nsānga namwīshuye nti : Wehó kó utūgúrutse mu mutwé nka nyina wa Dylan?,"- Moi : ""Pourquoi n'es-tu pas aussi cool que la maman de Dylan ?""","- Me: ""Why are you not cool like Dylan's mom?""",jokes,,,,,,,16,84
,- Nàátwe tuti : Inywa amâzi bàási - Nawé ati: Ndawuyòóngēshe ??,"- Nous : Eh bien, alors, bois de l'eau ! Lui encore : Je veux pas le diluer ?","- Us: Well, then, wash it down with water! Him again: Do you want me to dilute it?",jokes,,,,,,,12,63
,"- Sé wîwé: Oyaa, ivyo ntívyōshoboka kukó uryá ní Māwé wānje.","- Son père : Non, ce n'est pas possible, car c'est ma maman.","- His Dad: No, that's not possible, because she is my mom.",jokes,,,,,,,11,60
,- Turōngera tuti: Wumire bàási.,"- Nous encore : D'accord, avale-le !","- Us again: Alright, swallow it!",jokes,,,,,,,5,31
,- Ubu tuvugána ndāye kwa bā Dylan,- Maintenant je crois que je vais passer la nuit chez Dylan.,- Now I'm spending the night to Dylan's house.,jokes,,,,,,,7,33
,- Umufaràánsa: Urakóze cāne,"- Un Français : ""Merci bien.""","- A French person: ""Thank you very much.""",jokes,,,,,,,4,27
,"- Umugēnzi: ""Do do do""","- Ami : ""Toc, toc.""","- Friend: ""Knock, knock.""",jokes,,,,,,,5,22
,- Umugēnzi: Ni jēwé kīntu cā mbere ukūndá mu buzima bwāwe,"- Ami : ""C'est moi, la chose que tu aimes le plus dans la vie.""","- Friend: ""It's me, the number one thing you mostly like in life.""",jokes,,,,,,,11,57
,"- Umukòóbwa: Oya núkurí, Jēwé nkorēsha vaseline gusa","- Une fille : Non, j'utilise seulement de la Vaseline.","- A girl: No, I only use Vaseline.",jokes,,,,,,,8,52
,- Umunyâmēriká: Urakóze,"- Un Américain : ""Merci.""","- An American: ""Thank you.""",jokes,,,,,,,3,23
,"- Umunyêshùúre : Ntayo mfisé nōkorêsha, ndakenye.","- L'élève a répondu : ""Je n'ai pas d'argent à utiliser je suis fauché.""",- The student: I don't have any money to use I am broke,jokes,,,,,,,7,49
,- Umunyêshùúre nawé arōngera ati: Nōné kubêra ikí wāmá udúhana iyó tutākozé devoir?,"- L'élève répliqua : ""Alors pourquoi nous punissez-vous toujours chaque fois que nous n'avons pas fait nos devoirs ?""","- The student: """"So why do you always punish us whenever we haven't done the homework?""""""",jokes,,,,,,,13,83
,- Umunyêshùúre yabájije umwìígīsha wîwé ati: Umūntu arashóbora guhanirwa icó atākozé?,"- Un élève demanda à son professeur : ""Est-ce que quelqu'un peut être puni pour quelque chose qu'il n'a pas fait ?""","- A student inquired of their teacher: ""Can someone be punished for something they haven't done?""",jokes,,,,,,,11,85
,- Umurùúndi: Indé ??,"- Un Burundais : ""Qui ? Moi ?""","- A Burundian: ""Who? Me?""",jokes,,,,,,,4,20
,- Umurùúndi: Ushāka uyàánsubize?,- Réponse burundaise : Tu veux me rembourser ?,- Burundians: Do you want to cash me back?,jokes,,,,,,,4,32
,"- Umwâna : Hèé Dàá, nūmva nkûnda nyòókuru göse, niwé nshāká kó tuzôkóra ubukwé","- Enfant : Hé Papa, j'aime vraiment beaucoup Mamie, je veux qu'elle soit ma femme.","- Kid: Hey Dad, I really love grandma a lot, I want her to be my wife.",jokes,,,,,,,14,78
,- Umwâna : Nōné wewé Kó watwâye Māwé wānje ??,"- Enfant : Mais toi aussi, tu as épousé ma maman.",- Kid: But you also married my mom.,jokes,,,,,,,10,45
,- Umwìígīsha nawé ati: Oya,"- Le professeur répondit : ""Non.""","- The teacher replied: ""No.""",jokes,,,,,,,5,26
,"- Veterinêri: Umūntu amvuníra umugeto, ntā yìíndi nyama nōmuhá.",- Grilladin : Celui qui casse mes tiges n'aura plus de viande.,- Griller: The one who breaks my skewers won't get any meat anymore.,jokes,,,,,,,9,63
,Aba màáma b’ábarùúndi baratāngāje núkurí.,Les mamans burundaises sont vraiment spéciales. ,Burundian moms are truly unique.,jokes,,,,,,,5,41
,"Aba màáma b’ábarùúndi nûbwó wōbabwìíra kó wīgá mu wa gátāndátu ufíse imyâka 18
bāma bágira bati :""Urayajānyē!"" cânké ngo ""Uyahejeje ukíri mutó""","Les mamans burundaises, imaginez avoir 18 ans et leur dire que vous êtes sur le point de terminer l'école primaire. Leur réponse ? 'Wow, tu es sur le point de terminer ton marathon académique,' ou 'Finir à un si jeune âge, n'es-tu pas un prodige ?","Burundian moms, imagine being 18 and telling them you're about to finish primary school. Their response? 'Wow, you're on the brink of completing your academic marathon,' or 'Finishing at such a tender age, aren't you a prodigy?",jokes,,,,,,,22,143
,"Aba màáma b’ábarùúndi ubábwīye uti : ""Ufise Umwâna mwīzáa.""
Nyina wîwé rēró : ""Yōooo asa na sé.""","Si tu dis aux mamans burundaises, 'Tu as un beau bébé.'
La grand-mère : 'Ohhh vraiment ? Il ressemble à son père.'","If you tell Burundian moms, 'You have a beautiful baby.'
The grandmother: 'Ohhh really? He looks like his father.'",jokes,,,,,,,17,96
,Ababwira ijambo ry’Imana mu migani myinshi imwe n’iyo,Il leur dit la parole de Dieu dans de nombreuses paraboles identiques à celles,He told them the word of God in many parables the same as those,grammar,,,,,,,8,53
clips/sound_proverb/prov048.mp3,Ababwiriza benshi barashisha mu jisho.,Vous ne pouvez pas suivre beaucoup de prédicateurs,You cannot follow many preachers,proverbs,,,,,,,5,38
,Abadápfūyé barabónana.,Les chemins des vivants finiront par se croiser à nouveau.,The paths of the living will eventually cross again.,proverbs,,,,,,,2,22
,Abagabo bahūrira mu cêro ntíbahūríra mu cîbo.,"Pour des conversations significatives, rassemblez-vous dans l'endroit ouvert désigné, pas autour du festin.","For meaningful conversations, gather in the designated open area, not around the feast.",proverbs,,,,,,,7,45
,Abagabo bararyá imbwá zikīshura.,"Parfois, ce sont les innocents qui paient pour les fautes des coupables.","Sometimes, it's the innocent who pay for the faults of the guilty.",proverbs,,,,,,,4,32
,Abagabo barāra kubiri bakarōta kumwé.,"Des lits séparés, des rêves partagés.","Separated beds, shared dreams.",proverbs,,,,,,,5,37
,Abagiriki bo n’abanyamahanga ndi n’umwenda wabo,"Grecs et étrangers, j'ai une dette envers eux",Greeks and foreigners I have a debt to them,grammar,,,,,,,6,47
,Abaherezi bazanana aho bari ni umukuru w’abashibamyi,Les prêtres sont venus là où ils étaient avec le chef des gardes,The priests came where they were with the chief of the guards,grammar,,,,,,,7,52
clips/sound_proverb/prov049.mp3,Abahigi benshi bayobeza imbwa.,De nombreux chasseurs en forêt confondent les chiens,Many hunters in the forest confuse the dogs,proverbs,,,,,,,4,30
,Abahinga babona ko Uburundi bufise kazoza keza,Les ingénieurs pensent que le Burundi a un meilleur avenir.,Engineers believe Burundi has a better future.,general,,,,,,,7,46
,Abakobwa bicare ukwabo n’abahungu ukwabo,Demandez aux filles de s'asseoir seules et aux garçons seuls,Have the girls sit by themselves and the boys by themselves,grammar,,,,,,,5,40
