File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,word_count,char_count
,"Aba na bo bakaba bari mu karere Uburundi busanzwe burimwo, mu bihugu bibanyi nk’Urwanda, Tanzaniya, Republika iharanira Demokarasi ya Kongo hamwe n’igihugu c’Ubuganda",,,general,"Il en existe également dans la région qui comprend le Burundi, dans les pays voisins comme le Rwanda, la Tanzanie, la République démocratique du Congo et l'Ouganda.",,,,,,23,166
,Abacuzi batanyiyegereje ntibacura kuko mbanza kuborohereza ivyuma.,,,general,Les forgerons qui ne m'approchent pas ne forgent pas car j'adoucisse d'abord le métal.,,,,,,7,66
,Abafise amanota meza mu ndimi n'ibindi vyirwa bijanye na bo bashobora kubandanya amashure yisumbuye mu gisata c'indimi,,,general,Ceux qui ont de bonnes notes en langues et dans d’autres matières connexes peuvent poursuivre leurs études secondaires dans des cours de langues.,,,,,,17,118
,"Abafise ubumenyi bujanye n'ibiharuro, barashobora guhitamwo kubandanya amashure yisumbuye mu gisata c'ibiharuro n'ibindi vyirwa bijanye",,,general,Ceux qui ont des connaissances liées aux mathématiques peuvent choisir de poursuivre leurs études secondaires dans le domaine des mathématiques et d’autres domaines connexes.,,,,,,15,135
,Abagize Leta bava mu migambwe yashikanye igice kimwe ca mirongo ibiri c’amajwi mu matora kandi bakaba babishaka.,,,general,Les membres de l'État quittent le parti qui a recueilli un tiers des voix lors de l'élection et sont disposés à le faire.,,,,,,17,112
,Abagize Leta nibo bagena canke bagashikiriza abagenwa mu mabanga y’intwaro mu gihugu hamwe n’abaserukira Uburundi mu makungu.,,,general,Les membres du gouvernement sont ceux qui nomment ou présentent ceux qui sont nommés dans les forces armées du pays et ceux qui représentent le Burundi dans le monde.,,,,,,17,125
,"Abaguye urukanya baranshengerera, abatinya amazi akanye ntibakaraba batambonye.",,,general,Ceux qui ont peur de l’eau ne se laveront pas sans me voir.,,,,,,8,79
,Abajejwe gutanga ibisata vyo muri kaminuza baciye bampa igisata cigirwamwo ivy’inyifato,,,general,Les personnes chargées de délivrer les cartes universitaires m'ont alors remis une carte avec un code de conduite,,,,,,11,87
,Abakozi babiherewe uruhusha n’Ubuyobozi Bukuru baremerewe rimwe na rimwe kandi mu gihe gikwiye gukoresha ibikoresho vy’ibiro mu bikorwa bwite.,,,general,Les collaborateurs autorisés par le Directoire sont responsables de l'utilisation occasionnelle et appropriée du matériel de bureau à des fins personnelles.,,,,,,19,142
,Abakozi bakuru bakuru na batobato bo mu ntwaro bategerezwa kumenyesha amatungo ya bo bagitangura kurangura amabanga bajejwe n’igihe bayavuyemwo.,,,general,Les officiers supérieurs et subalternes des forces armées doivent informer leurs familles lorsqu'ils commencent à exercer leurs fonctions et lorsqu'ils les quittent.,,,,,,19,144
,"Abakozi, abakozi b'igihe gito, abimenyereza umwuga canke abasanzwe bakorana n’ikigo basabwa kumenya no kubahiriza amategeko.",,,general,"Les salariés, salariés à temps partiel, stagiaires ou salariés réguliers de l’entreprise sont tenus de connaître et de respecter les règles.",,,,,,15,124
,"Abakuru n’abato bitayeho kubona Abarundi bagize ijambo mu makungu, ururimi rwacu rugashirwa mu zindi, bose bagona rimwe",,,general,Les vieux et les jeunes souhaitent que les Burundais aient une voix dans le monde.,,,,,,17,119
,"Abamenye mugabo bataronse ubwo burenganzira, baca biga amashure yisumbuye akukira amakomine",,,general,"Ceux qui savent mais ne comprennent pas, vont dans les écoles secondaires et reçoivent des municipalités",,,,,,11,91
,Abana bahisemwo kunonosora ibiharuro canke indimi bategerezwa gukora ikibazo co mu mwaka w'icumi na gatatu,,,general,Les enfants qui choisissent d'améliorer les mathématiques ou les langues doivent faire le problème de la treizième année,,,,,,15,106
,"Abana bahisemwo kunonosora ibiharuro canke indimi, bategerezwa gukora ikibazo co mu mwaka w'icumi na gatatu",,,general,Les enfants qui choisissent d'améliorer les mathématiques ou les langues doivent résoudre le problème de la treizième année.,,,,,,15,107
,"Abana barayikunda cane kuko ibakinisha. Emwe, je nanje sinobesha, Gifokozi ndayikunda.",,,general,"Les enfants adorent ça parce qu'ils y jouent. Eh bien, je ne tromperais pas, je m'aimerais.",,,,,,11,86
,"Abandi bana bari bajanye, bamubarira bati : «Reka gutinya,turabarira abavyeyi bawe ingene vyakugendeye, ko utari wabonye ico kinogo.»",,,general,"Les autres enfants étaient partis et dirent : N'aie pas peur, car nous n'avons pas vu tes parents ?",,,,,,18,133
,"Abandi na bo, bakabona ko ibintu vyahindutse, ko abantu bakwiye kujana n’ibigezweko",,,general,"D'autres, ils se rendent compte que les choses ont changé, que les gens devraient se conformer aux lois",,,,,,12,83
,Abangana n’ibice mirondo indwi (70%) nabo usanga baronka agahembo kari munsi y’idorari rimwe ry’Abanyamerika ku musi,,,general,Soixante-dix pour cent (70 %) gagnent également moins d’un dollar par jour.,,,,,,16,116
,Abantu bakandika inkuru zifise akanovera zikundwa na benshi,,,general,Des gens qui écrivent des histoires qui plaisent à beaucoup,,,,,,8,59
,Abantu bitaho kwandika amayagwa maze bakaryohora ivyobanditse barakenerwa cane mu buzima bwa minsi yose,,,general,Les personnes qui prennent soin de rédiger des essais et de les noter sont indispensables dans la vie de tous les jours.,,,,,,14,103
,Abantu bose bategerezwa kuronka impembo ingana iyo bakora akazi kamwe kandi babishoboye kumwe.,,,general,Tout le monde devrait recevoir un salaire égal s’il fait le même travail et a les mêmes capacités.,,,,,,13,94
,"Abantu hagera uburuhuko bw’amashure, bagaca bajana abana babo kwiga za ndimi mvamahanga ; barakwiye guhindura ingendo",,,general,"Lorsque les vacances scolaires arrivent, les gens emmènent leurs enfants étudier des langues étrangères ; ils doivent changer de cap",,,,,,16,117
