ID,File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,Audio_Status
krd_000501_proverbs,,Hari abavuga ko hari ivyakorwa kera ubu vyataye igihe,Il y a ceux qui disent que certaines choses faites dans le passé sont maintenant perdues,There are those who say that some things done in the past are now lost,proverbs,,,,,,,pending
krd_000502_proverbs,,Hari amezi y’agatasi n’amezi y’ici,Il y a des mois d'automne et des mois d'été,There are autumn months and summer months,proverbs,,,,,,,pending
krd_000503_grammar,,Hari ico mupfana,Êtes-vous apparenté?,Are you related?,grammar,,,,,,,pending
krd_000504_proverbs,,Hari ikintu kizimbutse ufise?,Avez-vous quelque chose de moins cher?,Do you have something cheaper?,proverbs,,,,,,,pending
krd_000505_action-verbs,,Hari imbeho muri ikigitondo.,Il fait froid ce matin.,It's cold this morning.,action-verbs,,,,,,,pending
krd_000506_proverbs,,Hari imibu myinshi.,Il y a beaucoup de moustiques.,There are a lot of mosquitoes.,proverbs,,,,,,,pending
krd_000507_proverbs,,Hari mu ntumbero yo kuzigama iryo tunga ridasubirizwa,C'est dans le but de sauver cette richesse irremplaçable,It is with the aim of saving this irreplaceable wealth,proverbs,,,,,,,pending
krd_000508_idioms,,"Hariho abanyeshure bavuga ngo :""tuzorujana hehe""","Il y a des étudiants qui disent: ""Où nous l'emmènerons""",There are students who say: Where we will take him,idioms,,,,,,,pending
krd_000509_jokes,,"Harihó igihe nūmvá umêngo ndakeneye nàánje umukûnzi, gusa mpéjeje gufūngura nkaca mbóna kó yarí inzara yarikó irabítuma.","Parfois, j'ai vraiment le sentiment que j'ai besoin d'être en couple, mais après avoir mangé, je me rends compte que cette pensée était simplement due à la faim.","Sometimes, I genuinely feel the need to be in a relationship, but after eating, I realize that the thought was simply hunger-induced.",jokes,,,,,,,pending
krd_000510_jokes,,"Harihó umūntu yīhênze inomero, aca aràámpamagara yîbaza kó ndí shêbuja wîwé.",Quelqu'un a composé le mauvais numéro en pensant que j'étais son patron.,Someone dialed the wrong number and mistakenly believed I was their boss.,jokes,,,,,,,pending
krd_000511_general,,Hariko hagwa imvura nyinshi.,Il pleut très fort.,It's raining very hard.,general,,,,,,,pending
krd_000512_vocabulary,,Harimwo Imihini myinshi.,Il y a beaucoup de manche ici.,There are many handle here.,vocabulary,,,,,,,pending
krd_000513_vocabulary,,Harimwo imiti myinshi.,Il y a beaucoup de médicament ici.,There are many medicine here.,vocabulary,,,,,,,pending
krd_000514_vocabulary,,Harimwo ivyirore vyinshi.,Il y a beaucoup de mirroir ici.,There are many mirror here.,vocabulary,,,,,,,pending
krd_000515_vocabulary,,Harimwo umuco mwinshi.,Il y a beaucoup de lumière ici.,There are many light here.,vocabulary,,,,,,,pending
krd_000516_grammar,,Hariya hari imicungwe myinshi? Emwe ntiwobara nanzi!,"Y a-t-il beaucoup d'oranges là-bas ? En effet, vous ne pouvez pas imaginer combien !","Are there many oranges over there? Indeed, you can’t imagine how many!",grammar,,,,,,,pending
krd_000517_proverbs,,Hayāga abăngana.,Des esprits similaires trouvent un terrain d'entente pour la discussion.,Similar minds find common ground for discussion.,proverbs,,,,,,,pending
krd_000518_action-verbs,,Hazorwa imvura ejo.,Il va pleuvoir demain.,It's going to rain tomorrow.,action-verbs,,,,,,,pending
krd_000519_proverbs,,Hezagirwa!,Sois béni!,Be blessed!,proverbs,,,,,,,pending
krd_000520_jokes,,"Háno iwàácu, urakúbitwa kàándi niwewé usabá ikigōngwe.","Pour nous, étant enfant, tu es frappé, et en plus de cela, tu dois t'excuser pour ce que t'as pas commis.","For us, as a child in addition to get scolded, you also have to apologize for something you haven't done.",jokes,,,,,,,pending
krd_000521_proverbs,,Hā guhāga wōshaza.,Une apparence bien habillée apporte plus de grâce qu'un ventre plein.,A well-dressed appearance brings more grace than a full belly.,proverbs,,,,,,,pending
krd_000522_proverbs,,Hā guhūra n'úwagúhāye wōhūra n'úwakwîmye.,Mieux vaut rencontrer un prometteur fiable que celui qui a donné dans le passé.,Better to encounter a reliable promiser than one who gave in the past.,proverbs,,,,,,,pending
krd_000523_proverbs,,Hā gupfá uyu mŭsi wōpfa éjo.,Mieux vaut affronter la tempête demain que de s'y noyer aujourd'hui.,Rather face the storm tomorrow than drown in it today.,proverbs,,,,,,,pending
krd_000524_proverbs,,Hā gupfá wōzānzama.,Choisir le moindre de deux maux.,Choose the lesser of two evils.,proverbs,,,,,,,pending
krd_000525_proverbs,,Hā kubêsha i bwămi wōtona nâbí.,"Au lieu de mentir à Sa Majesté, il vaut mieux reconnaître ses erreurs et accepter les conséquences.","Instead of lying to His Majesty, it's better to acknowledge one's mistakes and accept the consequences.",proverbs,,,,,,,pending
krd_000526_proverbs,,Hā kubêsha wōbêsherwa.,Il est préférable de faire face aux accusations que d'être malhonnête.,It's preferable to face accusations than to be dishonest.,proverbs,,,,,,,pending
krd_000527_proverbs,,Hā kugōka wōgōrwa.,Mieux vaut affronter la misère que de vivre comme un lâche.,Better to face misery than live as a coward.,proverbs,,,,,,,pending
krd_000528_proverbs,,Hā kuremēkwa akabōnge wōremēkwa amabuye.,Il vaut mieux porter des cailloux dans ses chaussures que de porter les problèmes des autres dans son cœur.,It's better to carry pebbles in your shoes than to carry others' problems in your heart.,proverbs,,,,,,,pending
krd_000529_proverbs,,Hā kuvyâra wōrima.,"Avant de vouloir des enfants, assure-toi d'avoir de quoi les nourrir.","Before seeking children, ensure there's sustenance to nurture them.",proverbs,,,,,,,pending
krd_000530_proverbs,,Hā kuvûmba umukŭngu wōvūmba umukûnzi.,"En cas de besoin, tournez-vous vers vos proches plutôt que vers les avares.","When in need, turn to your close ones rather than approaching the stingy.",proverbs,,,,,,,pending
krd_000531_proverbs,,Hā kwĭshīma wōshīmwa n'ábăndi.,"Laisse tes actions parler, et laisse les autres chanter tes louanges.","Let your actions speak, and let others sing your praise.",proverbs,,,,,,,pending
krd_000532_jokes,,"Hāma bíhīye ngo ""Ntā kayabágu ngirá Jēwé."," Et quand le repas est prêt, vous pourriez l'entendre dire : 'Je n'ai pas envie de manger. ","And when the meal is ready, you might hear them say, 'I don't feel like eating",jokes,,,,,,,pending
krd_000533_proverbs,,Hĭrya y'ûbwôba haba ubugabo.,"Au-delà de la peur, se trouve le courage.","Beyond fear, lies courage.",proverbs,,,,,,,pending
krd_000534_proverbs,,I bukûnzi ntíbwīrá.,Le temps n'a pas d'importance quand il s'agit de rendre visite à quelqu'un qui nous est cher.,Time is irrelevant when it comes to visiting someone dear to you.,proverbs,,,,,,,pending
krd_000535_proverbs,,I bŭnyokόrome uhajānwa na nyoko.,La maison de votre oncle maternel n'est atteinte que par votre mère.,Your maternal uncle's home is reached solely through your mother.,proverbs,,,,,,,pending
krd_000536_vocabulary,,Ibara nkunda n'iry'urwatsi rutoto.,Ma couleur préférée est le vert.,My favorite color is green.,vocabulary,,,,,,,pending
krd_000537_vocabulary,,Ibara nkunda ni iry'urwatsi rubisi.,Ma couleur préférée est le vert.,My favorite color is green.,vocabulary,,,,,,,pending
krd_000538_vocabulary,,Ibara nkunda ni irya urwatsi rubisi,Ma couleur préférée est le vert.,My favorite color is green.,vocabulary,,,,,,,pending
krd_000539_vocabulary,,Ibara nkunda niry'urwatsi.,Ma couleur préférée est le vert.,My favorite color is green.,vocabulary,,,,,,,pending
krd_000540_action-verbs,,Ibarabara riruzuye cane iki gitondo.,Le trafic est terrible ce matin.,The traffic is terrible this morning.,action-verbs,,,,,,,pending
krd_000541_jokes,,Ibaze kugura ama mégas bíkugōye bagaca bákwība terefòóne atâ nûkó urâtângura kuyákorēsha.,Imaginez la pein d'acheter des forfaits d'Internet et que votre téléphone soit volé avant même que vous ayez eu la chance de les utiliser.,"Imagine the amount of pain, of hardly finding money for data bundles, and your phone gets stolen before you even get the chance to use them.",jokes,,,,,,,pending
krd_000542_food,,Ibi bifungurwa biraryoshe.,C'était un repas délicieux.,It was a delicious meal.,food,,,,,,,pending
krd_000543_adjectives,,Ibi birato biratanga amahoro.,Ces chaussures sont confortables.,These shoes are comfortable.,adjectives,,,,,,,pending
