File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,word_count,char_count
,Ico utaribuhe umwana ntukimwereka,"Ce qu'on ne peut pas donner à un enfant, ne lui montre pas","That which you can’t give to a child, don’t show him",grammar,,,,,,,4,33
,Icoduha tugashikayo,J'aimerais que nous y arrivions,I wish that we’d get there,grammar,,,,,,,2,19
,Icompa akaza,J'aimerais qu'il vienne,I wish that he would come,grammar,,,,,,,2,12
,Icompa ntazoze,J'espère qu'il ne viendra pas,I hope he doesn’t come,grammar,,,,,,,2,14
,Icompa singende,J'espère que je n'y vais pas,I hope I don’t go,grammar,,,,,,,2,15
,Icoroshe ni kihe?,Qu'est-ce qui est le plus simple ?,Which is easier?,grammar,,,,,,,3,18
,Icupa ririmwo amata,Le biberon contient du lait,The bottle contains milk,grammar,,,,,,,3,19
,Icó Imâna igutútse ní co kikwĭca.,La malédiction de Dieu devient la cause de votre perte.,God's curse becomes the cause of your demise.,proverbs,,,,,,,6,33
,Icó iguhá n'îcó ikuvyărira birāngana.,"Deux trésors d'une seule origine, nous rappelant la richesse de l'existence.","Two treasures from one origin, reminding us of the richness of existence.",proverbs,,,,,,,5,37
,Icó uhāwé n'úgutôra ucākwa n'úgutâkara.,"Facile à obtenir, facile à perdre.","Easy come, easy go.",proverbs,,,,,,,5,39
,Icó umuryāngo utāzí ntíkimenywá na bárŭndi.,Les étrangers ne peuvent pas savoir ce qui est caché à la famille immédiate.,Outsiders cannot know what is hidden from the immediate family.,proverbs,,,,,,,6,43
,Icó umutíma ukūnzé isógo zisūmba inyama.,Les vrais désirs ne peuvent pas être facilement remplacés par autre chose.,True desires cannot be easily replaced by something else.,proverbs,,,,,,,6,40
,Icó umuvyêyi asizé ní co aragá.,Ce qu'un parent laisse derrière lui est la véritable richesse de la famille.,What a parent leaves behind is the true wealth of the family.,proverbs,,,,,,,6,31
,Icó umuvyêyi asizé ní co arerérwa.,La richesse qu'un parent laisse détermine la vie de leurs enfants.,The wealth a parent leaves behind determines their children's life.,proverbs,,,,,,,6,34
,Icó umūntu akorá ní co kimukóra.,Votre travail façonne ce que vous êtes.,Your work shapes who you are.,proverbs,,,,,,,6,32
,Icó utarâbόna ucērekwa n'úkurāmba.,Le temps révèle ce qui était autrefois caché.,Time reveals what was once hidden.,proverbs,,,,,,,4,34
,Icăyāye gihayira umukêbá akarí mu gihogero.,L'insensé révèle fièrement ses trésors à l'adversaire.,The fool proudly reveals his treasures to the adversary.,proverbs,,,,,,,6,43
,Icăyāye kivugira ibicúba ku macúniro.,Chanter pour les vaches alors qu'elles marchent vers l'abattoir est un acte insensé.,"Chanting for cows as they march to the slaughter, a foolish act.",proverbs,,,,,,,5,37
,Icĭmenyēre cītiranya amatúruka n'ámatāha.,De mauvaises habitudes mènent à de mauvais jugements.,Wrong habits lead to misjudging situations.,proverbs,,,,,,,4,41
,Icĭvyāra ní ingwe.,"Tel père, tel fils.","Like father, like son.",proverbs,,,,,,,3,18
,Iduka iruguruye?,Le magasin est-il ouvert?,Is the store open?,general,,,,,,,2,16
,Iduka yoba yuguruye ?,Le magasin est-il ouvert?,Is the store open?,general,,,,,,,4,21
,Iduka yugaye kuwimana.,Le magasin est fermé le dimanche.,The store is closed on Sundays.,general,,,,,,,3,22
,Ifirigo ikanyisha iragaragara,Le frigo est vide.,The fridge is empty.,general,,,,,,,3,29
clips/sound_humour/h5.mp3,Ifuku itambiye mu mwobo iti nari nzi gutamba nuko mbuze abandorera!,"""Je suis une danseuse étoile mais je n'ai pas de spectateurs, hélas."", comme disait la Taupe en gambadant au pied de sa chaumière !","""I am a prima ballerina but I have no spectators, alas."", as the Mole said frolicking at the bottom of her cottage!",jokes,,,,,,,11,67
clips/sound_humour/h9.mp3,Ifundi bayihushije icumu iraheza iti i Nyamiyaga haragiriwe!,Comme le disait le rouge-gorge après avoir esquivé un coup de lance : « Le pays du vent est très occupé !,"As the robin said after dodging a spear blow: ""The land of the wind is very busy!""",jokes,,,,,,,8,60
