File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,word_count,char_count
,Wīrukana umugóre ngo aguguna igúfa ukāzana uwurímira miyônzwá.,Celui qui trouve des défauts chez une femme peut en trouver de plus grands chez une autre.,He who finds faults in one wife may find greater faults in another.,proverbs,,,,,,,8,62
,Wītaba kare ugatumwa kure.,Le premier intervenant est destiné à aller loin.,The early responder is destined to journey far.,proverbs,,,,,,,4,26
,Wōba ukórēsha Instagram ??,Tu utilises Instagram ?, Do you use Instagram?,jokes,,,,,,,4,26
,Yabaririye impuzu nk’uko bisanzwe,Elle a cousu les vêtements comme d'habitude,She sewed the clothes as usual,grammar,,,,,,,4,33
,"Yabigisha nk’ufise ububasha, ntase n’abanyabwenge b’ivyanditswe","Il les enseignait comme quelqu'un qui avait autorité, et non comme les scribes.","He taught them like one who had authority, and not like the scribes",grammar,,,,,,,6,63
,Yaciye agenda,Il est parti aussitôt,He went away at once,grammar,,,,,,,2,13
,Yagiye atavuze N’agasaga,Il est parti sans dire au revoir,He went away without saying Goodbye,grammar,,,,,,,3,24
,Yahakanje ko atamuzi,Il a nié le connaître,He denied that he knew him,grammar,,,,,,,3,20
,Yahindutse ukundi,il a changé,he changed,grammar,,,,,,,2,17
,Yahoze ar’umunyeshuli,Il a toujours été un élève.,He was always a pupil.,grammar,,,,,,,2,21
,Yaje mw'ishuli adafise igitabo,Il est venu à l'école sans livre,He came to school without a book,grammar,,,,,,,4,30
,Yakubwiye iki?,Qu'est-ce qu'il a dit ?,What did he say?,general,,,,,,,2,14
,"Yakunda kutubaza ati:""Uva hehe?"".","Il nous demandait souvent : ""d'où viens-tu ?"".",He often asked us: where are you from?.,general,,,,,,,4,33
,Yama anezerewe buri musi,Elle est toujours heureuse.,She is always happy.,general,,,,,,,4,24
,Yama aryohewe.,Elle est toujours heureuse.,She is always happy.,general,,,,,,,2,14
,"Yamara nyene, izimangana ry’ururimi rwacu ryaratanguye.","Pourtant, l'extinction de notre langue a commencé.","However, the extinction of our language has begun.",general,,,,,,,6,55
,Yambaye amarori,Il porte de lunettes,He is wearing glasses,vocabulary,,,,,,,2,15
,Yambaye ikanzu ishushe.,Il porte un manteau chaud.,He is wearing a warm coat.,general,,,,,,,3,23
,Yambaye ikanzu itukura,Elle porte une robe rouge.,She is wearing a red dress.,general,,,,,,,3,22
,Yaratureze turakura tugera mu bigero.,Il nous a élevé jusqu'à la maturité.,He raised us to maturity.,general,,,,,,,5,37
,Yaremaye ibirenge uhereye kuva mu nda ya nyina,Il était infirme de naissance,He was crippled from birth,grammar,,,,,,,8,46
,Yari asanzwe arwaye atarakomereka,Il avait été malade avant de se blesser,He had been sick before he got hurt,grammar,,,,,,,4,33
,Yari imfungurwa iryoshe,C'était un repas délicieux.,It was a delicious meal.,general,,,,,,,3,23
,"Yarâmpévye, nôné ubu dukūndana na nyéne inzu abamwó.","Il m'a quitté, mais maintenant je suis en couple avec le propriétaire de son appartement. ","He dumped me, but now I'm in a relationship with the landlord of his apartment.",jokes,,,,,,,8,52
,Yateye umupira ubwa kabiri,Il a lancé le ballon une deuxième fois,He threw the ball the second time,grammar,,,,,,,4,26
,"Yavuga, at’ Oya! bagaca bamubarira..",S'il disait : Non ! alors ils lui ont dit..,"If he said, No! then they told him..",grammar,,,,,,,5,36
,Yavuze ibiki?,Qu'est-ce qu'il a dit ?,What did he say?,general,,,,,,,2,13
,"Yavuze ivy’ukuzuka kwa Kristo abibonye bitaribwabe , yukw atarekewe mu kuzimu, kandi n’umubiri wiwe ata ho wigeze ubora","Il a parlé de la résurrection du Christ, la voyant avant qu'elle ne se produise, qu'il ne serait pas laissé dans la fosse et que son corps ne se décomposerait jamais.","He spoke of the resurrection of Christ, seeing it before it ever happened , that he would not be left in the pit, and his body that it would never decay",grammar,,,,,,,18,119
,Yavuze ko azoza,Il a dit qu'il viendrait,He said that he will come,grammar,,,,,,,3,15
,Yemwe bana! ni mureke gutera amabuye!,Vous les enfants ! arrête de jeter des pierres !,You children! stop throwing stones!,grammar,,,,,,,6,37
,Yesu amenye yuko biburanya”,Jésus sachant qu'ils raisonnaient »,Jesus knowing that they reasoned”,grammar,,,,,,,4,27
,Yesu azozanana n’abamarayika biwe,Jésus viendra avec ses anges,Jesus will come with his angels,grammar,,,,,,,4,33
,Yesu ni we Mwami wa bose,Jésus est le Seigneur de tous,Jesus is Lord of all,grammar,,,,,,,6,24
,Yihereranye ni abiwe bigishwa akabibasobanurira vyose,"Lorsqu'il était seul avec ses propres disciples, il leur expliquait tout.",When he was alone with his own disciples he explained everything to them,grammar,,,,,,,6,53
,Yiruka buri gitondo.,Il court tous les matins.,He runs every morning.,general,,,,,,,3,20
,Yiruka misi yose mu gatondo.,Il court tous les matins.,He runs every morning.,general,,,,,,,5,28
,Yoba akwiye kuvuga,Il aurait dû parler,He would have had to speak,grammar,,,,,,,3,18
,"Yofashe kw izosi, impene iba ipfuye","S'il l'avait pris par le cou, la chèvre serait morte",If he had taken it by the neck the goat would have died,grammar,,,,,,,6,35
,"Yohana amaze gushirwa mw ibohero, Yesu aja i Galilaya","Quand Jean fut mis en prison, Jésus se rendit en Galilée","When John had been put in prison, Jesus went to Galilee",grammar,,,,,,,9,53
,"Yombariye, mba nje","S'il me l'avait dit, je serais venu","If he had told me, I would have come",grammar,,,,,,,3,18
,"Yongera kugenda ubwa kabiri, arasenga",Il y est retourné une deuxième fois et a prié,He went again the second time and prayed,grammar,,,,,,,5,37
,Yìíze hé ?,Où a-t-il étudié ?,Where did he get educated? ,jokes,,,,,,,3,10
,Zana impuzu zose atari izo zibiri,Apportez tous les vêtements sauf ces deux-là,Bring all the clothes except those two,grammar,,,,,,,6,33
,Zana impuzu zose ukuyemwo izo zibiri,Apportez tous les vêtements sauf ces deux-là,Bring all the clothes except those two,grammar,,,,,,,6,36
,Zana ivyo bitabo na vyo,Apportez aussi ces livres,"Bring those books, too",grammar,,,,,,,5,23
,Zikamwa ayό zitāhánye.,Les vaches produisent du lait en fonction de ce qu'elles ont mangé pendant le pâturage.,Cows produce milk based on what they have eaten during grazing.,proverbs,,,,,,,3,22
,abana barakina hanze.,Les enfants jouent dehors.,The children are playing outside.,general,,,,,,,3,21
,aka ni agahungarema.,Ceci est un chauve-souris.,This is a bat.,vocabulary,,,,,,,3,20
,akarya imitsima ari umuziro kuribwa ukuyemwo abaherezi,"et il a mangé du pain dont la consommation est interdite, sauf aux prêtres",and ate bread which is forbidden to be eaten except the priests,grammar,,,,,,,7,54
,amazi akanye,L'eau froide.,Cold water.,general,,,,,,,2,12
,araririmba indirimbo.,Elle chante une chanson.,She sings a song.,general,,,,,,,2,21
