File_Path,Kirundi_Transcription,French_Translation,English_Translation,Domain,Machine_Suggestion,Source,Duration,Speaker_id,Age,Gender,word_count,char_count
,Ni wewé watōyé aryá maherá yarí ku kabàáti?,C'est toi qui as pris l'argent qui était sur la table ?,It's you who took the money that was on the table?,jokes,,,,,,,21.0,128.0
,Ivyo birāto wāmbáye wabíguze angâhé?,Combien as-tu payé ces chaussures ?,How much did you buy those shoes?,jokes,,,,,,,6.0,40.0
,Arasúbizayó ati : Miré umuriro,Lui : Avaler du feu ?,Him: Swallow fire,jokes,,,,,,,6.0,32.0
,"Bella : Hèé màá, utânguriye iphone 13 nca nîyahura",Bella : Maman si tu ne m'achètes pas un Iphone 13 je pourrais me suicider,Bella: Mom if you don't buy me an Iphone 13 i might kill my self,jokes,,,,,,,10.0,52.0
,Bubu : Alooo Muyòómba !! úrakomeye ?,Bubu : Salut oncle ! Comment ça va ?,Bubu: Hello uncle! How are you?,jokes,,,,,,,8.0,38.0
,Bubu: Ni sawá mugá yâ maherá y'íterefòóne yānje wasígira Māwé yangúriyemwó ibitûmburá n’íkabuturá gusa !,"Bubu : Oui, ça va aussi, mais avec l'argent que tu as donné à maman pour m'acheter un téléphone, elle m'a seulement acheté un pain et une culotte.","Bubu: Yes, I am fine too, but with the money you gave to mom to buy me a phone, she only bought me a bread and underwear.",jokes,,,,,,,16.0,106.0
,Hewé urabêrewe cāne unó mùúsi kwèéri,Tu as vraiment l'air bien aujourd'hui.,You really look good today.,jokes,,,,,,,7.0,38.0
,Jēwé: Urī ndé?,Moi : Qui est là ?,Me: Who's there?,jokes,,,,,,,4.0,16.0
,Mu Burùúndi: Kirimwó amatára n’âmâzi?,Au Burundi : Quels autres produits vais-je recevoir en bonus avec ces chaussures?,In Burundi: What other items am I getting as a bonus with these shoes?,jokes,,,,,,,7.0,41.0
,"Muyòómba: ēgó, nàáwe gúte ?","Oncle : Oui, ça va. Et toi ?","Uncle: Yes, I am fine. How about you?",jokes,,,,,,,6.0,29.0
